Berlin,Frankfurt,2-1, 2.21 , 3.05 , 2.92 ,1.31,2.72,13:18
ΔικέφαλοςΒορρά,Μπαρτσελόνα,0-2, 2.94 , 2.17 , 3.15 ,1.46,2.25,13:15
Ναντ,Χόφενχαϊμ,2-1, 2.76 , 2.33 , 3.05 ,1.4,2.41,12:42
TorinoJuve,Μιλάνο,2-1, 2.12 , 2.99 , 3.2 ,1.51,2.15,12:39
Περιστέρι,BetisGreens,0-1, 2.44 , 2.54 , 3.15 ,1.49,2.18,12:36
FCBergamo,Νάπολι,1-3, 2.66 , 2.39 , 3.05 ,1.43,2.33,12:27
Fener,TorinoJuve,2-0, 2.9 , 2.16 , 3.2 ,1.52,2.11,12:24
Λέστερ,Νότινγχαμ,3-0, 1.88 , 3.5 , 3.3 ,1.51,2.14,12:18
Μπράγκα,Ghent,1-1, 2.21 , 2.81 , 3.2 ,1.52,2.11,12:15
CelticGreens,Λεβερκούζεν,0-1, 2.35 , 2.85 , 2.92 ,1.32,2.7,12:12
Ένωση,Ηράκλειο,1-1, 2.16 , 2.88 , 3.25 ,1.55,2.07,12:06
Real,Βιγιαρεάλ,1-0, 1.94 , 3.4 , 3.2 ,1.47,2.21,12:03
Σεβίλλη,Μιλάνο,0-1, 2.18 , 2.97 , 3.1 ,1.42,2.34,12:00
Fener,Τραμπζονσπόρ,1-0, 2.35 , 2.62 , 3.2 ,1.52,2.11,11:57
Ντόρτμουντ,Λεβερκούζεν,3-1, 2.12 , 3.1 , 3.05 ,1.39,2.43,11:54
Λέστερ,Πράσινοι,2-1, 2.04 , 3.15 , 3.2 ,1.48,2.19,11:45
Μονακό,Παρί,2-1, 2.56 , 2.46 , 3.1 ,1.45,2.27,11:42
Lipsia,Λίβερπουλ,5-0, 2.49 , 2.56 , 3.05 ,1.42,2.34,11:39
Σάλτσμπουργκ,Τσέλσι,2-1, 2.5 , 2.59 , 2.99 ,1.37,2.51,11:36
Κοπεγχάγη,VascoBlues,1-3, 2.1 , 3.15 , 3.05 ,1.4,2.41,11:33
Rennais,Λυών,1-0, 2.37 , 2.64 , 3.1 ,1.46,2.26,11:30
TorinoJuve,Νάπολι,4-0, 2.19 , 2.95 , 3.1 ,1.42,2.36,11:27
Μονακό,Ένωση,1-2, 2.31 , 2.77 , 3.1 ,1.43,2.33,11:24
Ρέιντζερς,ΓουέστΧαμ,3-0, 2.1 , 3 , 3.2 ,1.52,2.13,11:21
Λίβερπουλ,Έβερτον,1-0, 2.05 , 3.1 , 3.25 ,1.54,2.08,11:12
ΚίτρινοιΒορρά,Ρόμα,1-2, 2.6 , 2.35 , 3.2 ,1.55,2.06,11:09
Monchengladbach,Lipsia,0-2, 2.57 , 2.5 , 3.05 ,1.4,2.41,10:57
Eindhoven,InterBlues,2-2, 2.71 , 2.29 , 3.2 ,1.52,2.12,10:54
Μονακό,Ρέιντζερς,3-0, 2.37 , 2.65 , 3.1 ,1.46,2.25,10:51
Αγρίνιο,Ερυθρόλευκοι,0-1, 2.94 , 2.17 , 3.15 ,1.46,2.25,10:48
ΚρίσταλΠάλας,RedDevils,1-0, 2.76 , 2.33 , 3.05 ,1.4,2.41,10:45
ManchesterBlue,Νιούκαστλ,4-0, 1.88 , 3.5 , 3.3 ,1.51,2.14,10:42
Βόλος,Λαμία,0-1, 1.98 , 3.4 , 3.1 ,1.4,2.41,10:39
Ιωάννινα,Τρίπολη,1-1, 2.45 , 2.54 , 3.15 ,1.49,2.19,10:33
Lipsia,Πράσινοι,1-0, 1.93 , 3.5 , 3.15 ,1.42,2.34,10:27
Μπρέντφορντ,Λίβερπουλ,0-2, 3 , 2.08 , 3.25 ,1.55,2.06,10:24
Χόφενχαϊμ,Rosenborg,2-1, 1.98 , 3.4 , 3.1 ,1.4,2.41,10:21
Villa,1-1,Lions,LondonGunners 2.6 , 2.52 , 2.95 ,1.34,2.59,10:12
Λεβερκούζεν,Λίβερπουλ,1-3, 2.76 , 2.33 , 3.05 ,1.4,2.41,10:09
Real,Fener,1-2, 1.88 , 3.5 , 3.3 ,1.51,2.14,10:00
Eindhoven,Μπεσίκτας,3-0, 2.22 , 2.81 , 3.2 ,1.52,2.12,09:51
Λυών,Αντβέρπ,1-1, 2.04 , 3.25 , 3.15 ,1.43,2.33,09:45
Παρί,Ντόρτμουντ,3-2, 2.24 , 2.78 , 3.2 ,1.51,2.14,09:42
Ναντ,VascoBlues,2-2, 2.35 , 2.62 , 3.2 ,1.52,2.11,09:39
Πράσινοι,Λαμία,2-0, 1.83 , 3.65 , 3.35 ,1.54,2.08,09:27
Τρίπολη,Ηράκλειο,2-1, 2.23 , 2.8 , 3.2 ,1.52,2.13,09:24
BocaBoys,Berlin,1-0, 1.93 , 3.5 , 3.15 ,1.43,2.33,09:21
LisbonEagles,Λέστερ,1-0, 2.32 , 2.81 , 3 ,1.37,2.5,09:18
